uta7_uta11_scenario_id,uta11_id_clinician,category_level,expertise_level,patient_severity_real_level,uta4_time_on_task_no_ai,uta7_time_on_task_physician_assistant,uta11_time_on_task_pysician_assistant_personalized,uta7_id
s001,c01,Intern,Novice,low,246,158,156,c46
s002,c01,Intern,Novice,medium,198,162,133,c46
s003,c01,Intern,Novice,high,163,111,98,c46
s004,c02,Intern,Novice,low,222,129,112,c06
s005,c02,Intern,Novice,medium,362,340,292,c06
s006,c02,Intern,Novice,high,389,365,302,c06
s007,c03,Intern,Novice,low,243,230,68,c47
s008,c03,Intern,Novice,medium,243,128,115,c47
s009,c03,Intern,Novice,high,189,127,115,c47
s010,c04,Intern,Novice,low,289,181,113,c44
s011,c04,Intern,Novice,medium,176,165,119,c44
s012,c04,Intern,Novice,high,214,200,57,c44
s013,c05,Junior,Novice,low,311,101,100,c36
s014,c05,Junior,Novice,medium,181,155,118,c36
s015,c05,Junior,Novice,high,158,112,177,c36
s016,c06,Junior,Novice,low,128,89,38,c15
s017,c06,Junior,Novice,medium,236,414,58,c15
s018,c06,Junior,Novice,high,299,279,104,c15
s019,c07,Junior,Novice,low,155,126,94,c05
s020,c07,Junior,Novice,medium,126,180,106,c05
s021,c07,Junior,Novice,high,181,148,135,c05
s022,c08,Intern,Novice,low,188,157,137,c33
s023,c08,Intern,Novice,medium,159,149,100,c33
s024,c08,Intern,Novice,high,256,195,145,c33
s025,c09,Junior,Novice,low,166,142,138,c48
s026,c09,Junior,Novice,medium,234,265,179,c48
s027,c09,Junior,Novice,high,228,169,142,c48
s028,c10,Intern,Novice,low,126,110,98,c49
s029,c10,Intern,Novice,medium,178,152,109,c49
s030,c10,Intern,Novice,high,212,166,141,c49
s031,c11,Senior,Expert,low,211,198,84,c01
s032,c11,Senior,Expert,medium,198,162,144,c01
s033,c11,Senior,Expert,high,214,107,87,c01
s034,c12,Senior,Expert,low,277,231,173,c50
s035,c12,Senior,Expert,medium,214,208,193,c50
s036,c12,Senior,Expert,high,261,193,111,c50
s037,c13,Senior,Expert,low,182,157,146,c51
s038,c13,Senior,Expert,medium,234,228,212,c51
s039,c13,Senior,Expert,high,219,156,143,c51
s040,c14,Senior,Expert,low,178,140,50,c17
s041,c14,Senior,Expert,medium,162,138,109,c17
s042,c14,Senior,Expert,high,176,123,40,c17
s043,c15,Senior,Expert,low,223,215,117,c11
s044,c15,Senior,Expert,medium,201,147,79,c11
s045,c15,Senior,Expert,high,300,166,157,c11
s046,c16,Senior,Expert,low,134,113,71,c52
s047,c16,Senior,Expert,medium,129,115,97,c52
s048,c16,Senior,Expert,high,149,97,88,c52
s049,c17,Junior,Novice,low,144,123,119,c02
s050,c17,Junior,Novice,medium,289,308,214,c02
s051,c17,Junior,Novice,high,132,106,98,c02
s052,c18,Junior,Novice,low,177,113,132,c03
s053,c18,Junior,Novice,medium,264,223,135,c03
s054,c18,Junior,Novice,high,131,109,86,c03
s055,c19,Junior,Novice,low,239,160,158,c04
s056,c19,Junior,Novice,medium,287,227,166,c04
s057,c19,Junior,Novice,high,178,131,122,c04
s058,c20,Junior,Novice,low,397,234,88,c07
s059,c20,Junior,Novice,medium,170,141,118,c07
s060,c20,Junior,Novice,high,182,123,68,c07
s061,c21,Senior,Expert,low,205,158,76,c08
s062,c21,Senior,Expert,medium,199,145,104,c08
s063,c21,Senior,Expert,high,183,134,101,c08
s064,c22,Middle,Expert,low,144,131,119,c09
s065,c22,Middle,Expert,medium,195,133,114,c09
s066,c22,Middle,Expert,high,165,122,126,c09
s067,c23,Senior,Expert,low,242,245,96,c10
s068,c23,Senior,Expert,medium,143,429,217,c10
s069,c23,Senior,Expert,high,148,113,64,c10
s070,c24,Middle,Expert,low,231,136,102,c12
s071,c24,Middle,Expert,medium,145,120,85,c12
s072,c24,Middle,Expert,high,166,121,108,c12
s073,c25,Senior,Expert,low,156,137,107,c13
s074,c25,Senior,Expert,medium,137,129,44,c13
s075,c25,Senior,Expert,high,146,117,103,c13
s076,c26,Senior,Expert,low,171,132,61,c14
s077,c26,Senior,Expert,medium,178,151,78,c14
s078,c26,Senior,Expert,high,179,140,135,c14
s079,c27,Junior,Novice,low,287,257,239,c16
s080,c27,Junior,Novice,medium,154,148,137,c16
s081,c27,Junior,Novice,high,365,454,308,c16
s082,c28,Junior,Novice,low,222,133,117,c18
s083,c28,Junior,Novice,medium,253,194,86,c18
s084,c28,Junior,Novice,high,268,134,69,c18
s085,c29,Senior,Expert,low,274,238,207,c19
s086,c29,Senior,Expert,medium,166,144,51,c19
s087,c29,Senior,Expert,high,161,114,57,c19
s088,c30,Senior,Expert,low,282,158,73,c20
s089,c30,Senior,Expert,medium,178,165,122,c20
s090,c30,Senior,Expert,high,186,111,103,c20
s091,c31,Middle,Expert,low,145,137,109,c21
s092,c31,Middle,Expert,medium,162,177,154,c21
s093,c31,Middle,Expert,high,187,121,109,c21
s094,c32,Senior,Expert,low,363,157,156,c22
s095,c32,Senior,Expert,medium,161,140,99,c22
s096,c32,Senior,Expert,high,278,277,172,c22
s097,c33,Middle,Expert,low,174,172,149,c23
s098,c33,Middle,Expert,medium,198,157,146,c23
s099,c33,Middle,Expert,high,199,169,136,c23
s100,c34,Senior,Expert,low,183,117,112,c24
s101,c34,Senior,Expert,medium,126,122,107,c24
s102,c34,Senior,Expert,high,162,102,95,c24
s103,c35,Middle,Expert,low,160,149,143,c25
s104,c35,Middle,Expert,medium,254,196,175,c25
s105,c35,Middle,Expert,high,193,151,141,c25
s106,c36,Middle,Expert,low,170,144,132,c26
s107,c36,Middle,Expert,medium,145,136,101,c26
s108,c36,Middle,Expert,high,156,115,109,c26
s109,c37,Senior,Expert,low,194,179,172,c27
s110,c37,Senior,Expert,medium,201,179,129,c27
s111,c37,Senior,Expert,high,218,188,174,c27
s112,c38,Junior,Novice,low,181,126,132,c28
s113,c38,Junior,Novice,medium,138,151,124,c28
s114,c38,Junior,Novice,high,182,145,138,c28
s115,c39,Middle,Expert,low,210,177,158,c29
s116,c39,Middle,Expert,medium,106,142,94,c29
s117,c39,Middle,Expert,high,192,172,147,c29
s118,c40,Middle,Expert,low,178,149,133,c30
s119,c40,Middle,Expert,medium,135,126,113,c30
s120,c40,Middle,Expert,high,173,136,108,c30
s121,c41,Junior,Novice,low,274,174,164,c31
s122,c41,Junior,Novice,medium,153,141,129,c31
s123,c41,Junior,Novice,high,161,135,122,c31
s124,c42,Junior,Novice,low,262,248,141,c32
s125,c42,Junior,Novice,medium,168,203,155,c32
s126,c42,Junior,Novice,high,158,156,104,c32
s127,c43,Middle,Expert,low,223,134,127,c34
s128,c43,Middle,Expert,medium,185,169,136,c34
s129,c43,Middle,Expert,high,149,136,102,c34
s130,c44,Junior,Novice,low,291,106,101,c35
s131,c44,Junior,Novice,medium,152,148,135,c35
s132,c44,Junior,Novice,high,157,150,144,c35
s133,c45,Junior,Novice,low,144,118,116,c37
s134,c45,Junior,Novice,medium,101,143,59,c37
s135,c45,Junior,Novice,high,166,149,117,c37
s136,c46,Junior,Novice,low,146,130,128,c38
s137,c46,Junior,Novice,medium,181,167,76,c38
s138,c46,Junior,Novice,high,152,142,91,c38
s139,c47,Senior,Expert,low,221,289,108,c39
s140,c47,Senior,Expert,medium,176,157,124,c39
s141,c47,Senior,Expert,high,154,153,107,c39
s142,c48,Middle,Expert,low,219,114,81,c40
s143,c48,Middle,Expert,medium,180,267,173,c40
s144,c48,Middle,Expert,high,167,164,114,c40
s145,c49,Senior,Expert,low,203,191,188,c41
s146,c49,Senior,Expert,medium,129,192,174,c41
s147,c49,Senior,Expert,high,169,112,109,c41
s148,c50,Junior,Novice,low,256,198,148,c42
s149,c50,Junior,Novice,medium,162,208,157,c42
s150,c50,Junior,Novice,high,183,146,131,c42
s151,c51,Middle,Expert,low,186,156,144,c43
s152,c51,Middle,Expert,medium,114,164,101,c43
s153,c51,Middle,Expert,high,159,118,106,c43
s154,c52,Senior,Expert,low,208,191,165,c45
s155,c52,Senior,Expert,medium,207,204,182,c45
s156,c52,Senior,Expert,high,244,193,166,c45